title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
Informatika Untuk SMP/MTs Kelas VII,Text,,,Erlangga,2021,,,004 PAN i,Indonesia,Jakarta,4,,,,Henry Pandia,
Ensiklopedia Angkasa Luar,Reference,,,Tiga Serangkai,2010,,,31,Indonesia,Solo,31,,,,Alexandre Wajnberg,
Squid ,Text,,,Andi,2008,,,004 RAF s,Indonesia,yogyakarta,4,,,,Rahmat Rafiudin,
Ensiklopedia Pendidikan & psikologi ,Reference,,,Andi,2017,,,030 AQI e,Indonesia,yogyakarta,30,,,,Zainal Aqib,
cara Kerja Komputer,Text,,,Gunung Mulia,-,,,003 CAR c,Indonesia,Jakarta,3,,,,David carey,
Majalah readers Digest Indonesia,Serial,,,PT. Sarana Media Internasional,2008,,,070. TIM r,Indonesia,,70,,,,TIM,
Majalah Intisari November 2020,Serial,,,Gramedia,2020,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM,
Majalah Intisari Desember 2020,Serial,,,Gramedia,2020,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM,
majalah Intisari Januari 2021,Serial,,,Gramedia,2021,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM,
majalah Intisari April 2021,Serial,,,Gramedia,2021,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM,
Majalah Intisari Mei 2021,Serial,,,Gramedia,2021,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM,
Majalah Intisari Juni 2021,Serial,,,Gramedia,2021,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM,
Rumah Tangga Kesehatan April 2021,Text,,,Advent Indonesia,2021,,,070.1 TIM r,Indonesia,,70.1,,,,TIM,
Rumah Tangga Kesehatan Mei 2021,Text,,,Advent Indonesia,2021,,,070.1 TIM r,Indonesia,,70.1,,,,TIM,
Rumah Tangga Kesehatan Juni 2021,Text,,,Advent Indonesia,2021,,,070.1 TIM r,Indonesia,,70.1,,,,TIM,
Rumah Tangga Kesehatan Juli 2021,Text,,,Advent Indonesia,2021,,,070.1 TIM r,Indonesia,,70.1,,,,TIM,
Kesehatan Menakjubkan!,Text,,,Akhir Zaman Publishing,2021,,,070 TIM k,Indonesia,,70,,,,TIM,
National Geographic : Pueblo,Text,,,National Geographic,2011,,,070.1 CRO p,Indonesia,Washinton DC,70.1,,,,Anita Croy,
National Geographic :Cuaca Ekstrem,Text,,,National Geographic,2012,,,070.1 SIM c,Indonesia,Washinton DC,70.1,,,,Kathleen Simpson,
National Geographic :Air,Text,,,National Geographic,2012,,,070.1 BUR a,Indonesia,Washinton DC,70.1,,,,Michael Burgan,
National Geographic : Otak,Text,,,National Geographic,2012,,,070.1 SIM o,Indonesia,Washinton DC,70.1,,,,Kathleen Simpson,
Buku Pintar Mind Map Untuk Anak ,Text,,,Gramedia,2007,,,028.5 BUZ m,Indonesia,Jakarta,28.5,,,,Tony Buzan,
National Geograpchic : Genetika Dari DNA hingga Domba Dolly,Text,,,National Geographic,2012,,,070 TIM g,Indonesia,Washinton DC,70,,,,Kathleen Simpson,
National Geograpchic : Arkeologi Menguak Rahasia Masa lampau : Yunani Kuno,Text,,,National Geographic,2012,,,070 TIM g,Indonesia,Washinton DC,70,,,,Marni McGee,
Majalah Intisari Januari 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari  Februari 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
